"집계일자","영업소코드","입출구구분코드","TCS하이패스구분코드","1종교통량","2종교통량","3종교통량","4종교통량","5종교통량","6종교통량","총교통량",
"20230211","101 ","0","1","7942","98","242","144","37","65","8528",
"20230211","101 ","0","2","78217","1356","6759","964","482","2862","90640",
"20230211","101 ","1","1","7623","145","182","254","44","806","9054",
"20230211","101 ","1","2","78793","1665","7045","1302","668","2934","92407",
"20230211","190 ","0","1","4669","90","285","171","46","21","5282",
"20230211","190 ","0","2","63251","1250","1477","638","746","2197","69559",
"20230211","190 ","1","1","5088","111","203","203","41","582","6228",
"20230211","190 ","1","2","57719","1293","1549","1028","989","2096","64674",
"20230211","253 ","0","1","6835","92","291","197","69","61","7545",
"20230211","253 ","0","2","84737","1143","795","704","1706","3548","92633",
"20230211","253 ","1","1","6911","92","243","288","52","829","8415",
"20230211","253 ","1","2","77963","1206","738","959","2015","3365","86246",
"20230211","254 ","0","1","3731","71","199","184","51","32","4268",
"20230211","254 ","0","2","39599","642","667","542","982","1793","44225",
"20230211","254 ","1","1","3708","75","204","260","58","496","4801",
"20230211","254 ","1","2","40631","693","635","586","1107","1868","45520",
"20230211","651 ","0","1","3796","25","56","45","9","17","3948",
"20230211","651 ","0","2","35338","333","748","277","210","1293","38199",
"20230211","651 ","1","1","3340","31","72","48","4","369","3864",
"20230211","651 ","1","2","35136","364","845","247","147","1365","38104",
"20230211","685 ","0","1","2900","44","235","176","139","28","3522",
"20230211","685 ","0","2","24584","389","822","467","1902","958","29122",
"20230211","685 ","1","1","2701","50","213","195","93","312","3564",
"20230211","685 ","1","2","23344","447","708","543","1976","1003","28021",
