"집계일자","영업소코드","입출구구분코드","TCS하이패스구분코드","1종교통량","2종교통량","3종교통량","4종교통량","5종교통량","6종교통량","총교통량",
"20230208","101 ","0","1","6568","162","468","335","74","87","7694",
"20230208","101 ","0","2","75586","2494","7777","1820","1064","3295","92036",
"20230208","101 ","1","1","5997","232","376","488","95","702","7890",
"20230208","101 ","1","2","76203","2888","8214","2341","1469","3209","94324",
"20230208","190 ","0","1","3373","198","733","583","103","58","5048",
"20230208","190 ","0","2","50307","3117","2102","2188","1868","2243","61825",
"20230208","190 ","1","1","3868","206","546","535","110","424","5689",
"20230208","190 ","1","2","48043","3016","2167","2431","2176","2173","60006",
"20230208","253 ","0","1","5033","202","732","558","136","97","6758",
"20230208","253 ","0","2","74277","2658","1743","2451","2924","3714","87767",
"20230208","253 ","1","1","5215","213","623","607","169","674","7501",
"20230208","253 ","1","2","71916","2747","1835","2760","3476","3676","86410",
"20230208","254 ","0","1","3037","163","545","595","251","49","4640",
"20230208","254 ","0","2","38850","1757","1057","1493","3149","2216","48522",
"20230208","254 ","1","1","2833","139","461","567","207","309","4516",
"20230208","254 ","1","2","36073","1545","982","1253","3011","2053","44917",
"20230208","651 ","0","1","2740","65","132","106","32","31","3106",
"20230208","651 ","0","2","26553","710","880","506","392","1473","30514",
"20230208","651 ","1","1","2492","67","206","106","23","338","3232",
"20230208","651 ","1","2","27100","743","919","497","396","1573","31228",
"20230208","685 ","0","1","2028","124","674","618","338","35","3817",
"20230208","685 ","0","2","17671","1111","1187","1320","3984","848","26121",
"20230208","685 ","1","1","1876","176","613","576","257","204","3702",
"20230208","685 ","1","2","19900","1317","1126","1297","3791","994","28425",
