"집계일자","영업소코드","입출구구분코드","TCS하이패스구분코드","1종교통량","2종교통량","3종교통량","4종교통량","5종교통량","6종교통량","총교통량",
"20230207","101 ","0","1","6621","183","485","349","81","105","7824",
"20230207","101 ","0","2","76520","2567","7746","1841","1120","3259","93053",
"20230207","101 ","1","1","5998","235","355","524","112","666","7890",
"20230207","101 ","1","2","75388","2862","8203","2440","1520","3266","93679",
"20230207","190 ","0","1","3470","182","704","594","93","60","5103",
"20230207","190 ","0","2","50130","3166","2128","2221","1824","2227","61696",
"20230207","190 ","1","1","3832","190","541","585","111","430","5689",
"20230207","190 ","1","2","48160","3121","2205","2450","2165","2152","60253",
"20230207","253 ","0","1","4862","179","744","542","134","101","6562",
"20230207","253 ","0","2","70637","2607","1737","2487","2730","3577","83775",
"20230207","253 ","1","1","5379","204","635","677","185","726","7806",
"20230207","253 ","1","2","72766","2859","1792","2845","3312","3740","87314",
"20230207","254 ","0","1","2976","153","542","653","220","51","4595",
"20230207","254 ","0","2","37895","1836","1051","1512","3089","2125","47508",
"20230207","254 ","1","1","2880","133","488","636","198","365","4700",
"20230207","254 ","1","2","35986","1639","945","1358","2943","2038","44909",
"20230207","651 ","0","1","2727","41","158","94","24","31","3075",
"20230207","651 ","0","2","25883","717","887","506","377","1429","29799",
"20230207","651 ","1","1","2555","66","187","98","39","308","3253",
"20230207","651 ","1","2","27446","708","866","476","330","1548","31374",
"20230207","685 ","0","1","2132","150","664","664","401","23","4034",
"20230207","685 ","0","2","17945","1129","1234","1375","4329","878","26890",
"20230207","685 ","1","1","1900","161","641","580","241","232","3755",
"20230207","685 ","1","2","20197","1342","1163","1313","4193","1011","29219",
