"집계일자","영업소코드","입출구구분코드","TCS하이패스구분코드","1종교통량","2종교통량","3종교통량","4종교통량","5종교통량","6종교통량","총교통량",
"20230210","101 ","0","1","7209","175","453","319","89","113","8358",
"20230210","101 ","0","2","79816","2391","8380","1754","961","3345","96647",
"20230210","101 ","1","1","6562","216","332","408","84","737","8339",
"20230210","101 ","1","2","81382","2647","8912","2133","1233","3475","99782",
"20230210","190 ","0","1","4056","180","659","502","87","63","5547",
"20230210","190 ","0","2","60159","2943","2180","1904","1821","2624","71631",
"20230210","190 ","1","1","4369","190","550","446","110","510","6175",
"20230210","190 ","1","2","55303","2978","2158","2154","2139","2433","67165",
"20230210","253 ","0","1","6022","207","663","514","123","93","7622",
"20230210","253 ","0","2","81351","2609","1569","2024","2353","4000","93906",
"20230210","253 ","1","1","6201","215","606","595","187","802","8606",
"20230210","253 ","1","2","81752","2672","1598","2308","2861","4167","95358",
"20230210","254 ","0","1","3248","154","515","564","215","47","4743",
"20230210","254 ","0","2","40237","1705","1041","1268","2679","2158","49088",
"20230210","254 ","1","1","3127","126","451","538","185","391","4818",
"20230210","254 ","1","2","38822","1573","982","1189","2715","2071","47352",
"20230210","651 ","0","1","3364","45","125","88","31","30","3683",
"20230210","651 ","0","2","36111","680","885","450","398","1735","40259",
"20230210","651 ","1","1","2832","54","155","108","12","377","3538",
"20230210","651 ","1","2","29411","699","874","454","391","1660","33489",
"20230210","685 ","0","1","2134","103","624","558","297","30","3746",
"20230210","685 ","0","2","21097","1169","1281","1261","3878","1015","29701",
"20230210","685 ","1","1","2104","153","606","518","249","264","3894",
"20230210","685 ","1","2","22990","1344","1165","1240","3800","1151","31690",
