"집계일자","집계시","영업소코드","입출구구분코드","TCS하이패스구분코드","고속도로운영기관구분코드","영업형태구분코드","1종교통량","2종교통량","3종교통량","4종교통량","5종교통량","6종교통량","총교통량",
"20230210","00","119 ","0","2","00","0","30","0","1","2","3","1","37",
"20230210","00","119 ","1","1","00","0","5","0","0","0","0","1","6",
"20230210","00","119 ","1","2","00","0","52","0","5","3","1","3","64",
"20230210","00","120 ","0","1","00","0","0","0","1","1","0","0","2",
"20230210","00","120 ","0","2","00","0","4","0","1","1","6","0","12",
"20230210","00","120 ","1","1","00","0","1","0","0","0","0","0","1",
"20230210","00","120 ","1","2","00","0","4","0","0","1","4","0","9",
"20230210","00","121 ","0","1","00","0","2","0","0","0","0","0","2",
"20230210","00","121 ","0","2","00","0","3","0","0","0","0","0","3",
"20230210","00","121 ","1","1","00","0","1","0","0","0","0","0","1",
"20230210","00","121 ","1","2","00","0","4","0","0","0","0","0","4",
"20230210","00","122 ","0","1","00","0","6","0","0","2","0","0","8",
"20230210","00","122 ","0","2","00","0","28","1","4","3","4","0","40",
"20230210","00","122 ","1","1","00","0","5","0","0","0","0","0","5",
"20230210","00","122 ","1","2","00","0","31","1","2","4","1","3","42",
"20230210","00","123 ","0","1","00","0","14","0","0","0","1","0","15",
"20230210","00","123 ","0","2","00","0","96","2","4","4","3","5","114",
"20230210","00","123 ","1","1","00","0","13","0","0","0","0","3","16",
"20230210","00","123 ","1","2","00","0","116","5","4","7","9","5","146",
"20230210","00","124 ","0","1","00","0","3","0","0","0","0","0","3",
"20230210","00","124 ","0","2","00","0","4","0","0","2","4","1","11",
"20230210","00","124 ","1","1","00","0","1","0","0","0","0","2","3",
"20230210","00","124 ","1","2","00","0","7","0","3","3","3","1","17",
"20230210","00","125 ","0","1","00","0","9","0","0","3","0","1","13",
"20230210","00","125 ","0","2","00","0","89","5","0","5","4","4","107",
"20230210","00","125 ","1","1","00","0","10","0","0","4","1","2","17",
"20230210","00","125 ","1","2","00","0","58","0","3","6","8","2","77",
"20230210","00","126 ","0","1","00","0","5","0","0","2","1","0","8",
"20230210","00","126 ","0","2","00","0","37","10","2","12","9","3","73",
"20230210","00","126 ","1","1","00","0","2","0","0","5","0","3","10",
"20230210","00","126 ","1","2","00","0","67","5","2","6","7","4","91",
"20230210","00","127 ","0","1","00","0","15","0","1","5","0","0","21",
"20230210","00","127 ","0","2","00","0","134","8","7","22","10","6","187",
"20230210","00","127 ","1","1","00","0","26","1","0","6","0","6","39",
"20230210","00","127 ","1","2","00","0","177","7","8","16","14","7","229",
"20230210","00","128 ","0","1","00","0","2","0","0","2","0","0","4",
"20230210","00","128 ","0","2","00","0","29","2","1","4","5","0","41",
