"집계일자","영업소코드","입출구구분코드","TCS하이패스구분코드","1종교통량","2종교통량","3종교통량","4종교통량","5종교통량","6종교통량","총교통량",
"20230209","101 ","0","1","6736","167","477","339","89","102","7910",
"20230209","101 ","0","2","76044","2499","7872","1818","1133","3260","92626",
"20230209","101 ","1","1","6232","233","384","500","103","655","8107",
"20230209","101 ","1","2","78058","2854","8416","2379","1595","3247","96549",
"20230209","190 ","0","1","3685","181","745","597","97","51","5356",
"20230209","190 ","0","2","52347","3155","2209","2114","2173","2291","64289",
"20230209","190 ","1","1","4067","196","574","574","125","482","6018",
"20230209","190 ","1","2","50295","3052","2249","2341","2416","2229","62582",
"20230209","253 ","0","1","5202","225","700","521","154","113","6915",
"20230209","253 ","0","2","73860","2748","1617","2151","2888","3721","86985",
"20230209","253 ","1","1","5477","273","632","639","180","693","7894",
"20230209","253 ","1","2","75630","2850","1646","2445","3514","3823","89908",
"20230209","254 ","0","1","2897","163","568","584","197","60","4469",
"20230209","254 ","0","2","37527","1740","1085","1396","2802","2158","46708",
"20230209","254 ","1","1","3027","166","461","589","203","379","4825",
"20230209","254 ","1","2","38061","1653","1035","1327","2936","2112","47124",
"20230209","651 ","0","1","2763","57","145","109","27","21","3122",
"20230209","651 ","0","2","27591","693","910","467","461","1475","31597",
"20230209","651 ","1","1","2692","65","180","116","26","334","3413",
"20230209","651 ","1","2","27796","745","887","436","407","1549","31820",
"20230209","685 ","0","1","1961","119","676","617","305","40","3718",
"20230209","685 ","0","2","18756","1152","1270","1315","4074","900","27467",
"20230209","685 ","1","1","1912","141","629","538","218","241","3679",
"20230209","685 ","1","2","20438","1326","1161","1293","3764","983","28965",
