"집계일자","영업소코드","입출구구분코드","TCS하이패스구분코드","1종교통량","2종교통량","3종교통량","4종교통량","5종교통량","6종교통량","총교통량",
"20230206","101 ","0","1","7171","157","457","322","78","93","8278",
"20230206","101 ","0","2","80056","2353","7742","1796","1001","3501","96449",
"20230206","101 ","1","1","6066","226","338","398","99","698","7825",
"20230206","101 ","1","2","75188","2574","8125","2088","1357","3228","92560",
"20230206","190 ","0","1","3771","176","665","585","104","47","5348",
"20230206","190 ","0","2","52911","2997","2076","2044","1712","2385","64125",
"20230206","190 ","1","1","4071","195","471","475","91","430","5733",
"20230206","190 ","1","2","48484","2905","2054","1856","1814","2244","59357",
"20230206","253 ","0","1","5477","175","698","539","113","94","7096",
"20230206","253 ","0","2","76898","2495","1716","2280","2596","3860","89845",
"20230206","253 ","1","1","5471","211","601","560","143","678","7664",
"20230206","253 ","1","2","73355","2730","1787","2430","3073","3837","87212",
"20230206","254 ","0","1","3259","150","518","577","224","50","4778",
"20230206","254 ","0","2","40837","1726","1071","1390","2891","2248","50163",
"20230206","254 ","1","1","3083","126","435","492","167","376","4679",
"20230206","254 ","1","2","35715","1439","924","994","2525","2005","43602",
"20230206","651 ","0","1","2937","57","128","102","15","36","3275",
"20230206","651 ","0","2","27857","701","889","426","364","1549","31786",
"20230206","651 ","1","1","2868","48","155","105","18","356","3550",
"20230206","651 ","1","2","30574","705","851","480","374","1604","34588",
"20230206","685 ","0","1","2463","130","676","569","319","35","4192",
"20230206","685 ","0","2","18715","1079","1150","1236","3909","910","26999",
"20230206","685 ","1","1","2113","164","581","476","220","228","3782",
"20230206","685 ","1","2","20200","1220","1152","1190","3715","980","28457",
